Station,Borough,2013,2014,2015,2016,2017,2018,change_2018_raw,change_2018_percent,2018 Rank
Pelham Pkwy ,Bronx,"3,028,494","3,084,862","3,066,190","2,955,589","2,849,210","2,639,586","-209,624",-7.40%,178
Pelham Pkwy ,Bronx,"919,689","907,735","894,727","897,374","869,177","844,884","-24,293",-2.80%,373
Prospect Av ,Bronx,"2,311,798","2,445,131","2,394,820","2,513,169","2,413,743","2,142,697","-271,046",-11.20%,220
Simpson St ,Bronx,"3,027,856","3,121,036","3,048,014","3,046,838","2,965,807","2,585,974","-379,833",-12.80%,182
St Lawrence Av ,Bronx,"1,280,074","1,315,456","1,320,571","1,329,758","1,334,387","1,273,609","-60,778",-4.60%,320
Tremont Av ,Bronx,"2,952,385","3,130,848","3,155,197","3,213,396","3,154,608","3,246,064","91,456",2.90%,152
Van Cortlandt Park-242 St ,Bronx,"2,148,667","2,188,428","2,266,986","2,294,482","2,249,314","2,333,136","83,822",3.70%,199
Wakefield-241 St,Bronx,"1,528,793","1,669,608","1,654,707","1,662,337","1,578,125","1,484,478","-93,647",-5.90%,298
West Farms Sq-East Tremont Av ,Bronx,"2,514,240","2,567,773","2,437,882","2,465,907","2,388,659","2,094,751","-293,908",-12.30%,225
Westchester Sq-East Tremont Av ,Bronx,"2,043,649","2,177,402","2,056,555","1,952,473","1,917,007","1,817,925","-99,082",-5.20%,256
Whitlock Av ,Bronx,"534,489","543,798","545,079","571,352","595,385","592,103","-3,282",-0.60%,399
Woodlawn ,Bronx,"2,423,278","2,375,663","2,418,890","2,380,900","2,242,100","2,160,859","-81,241",-3.60%,217
Zerega Av,Bronx,"985,388","599,478","492,883","784,314","799,739","792,928","-6,811",-0.90%,380
15 St-Prospect Park,Brooklyn,"2,005,424","2,017,347","2,011,237","1,958,444","1,917,454","1,867,619","-49,835",-2.60%,252
18 Av ,Brooklyn,"1,954,729","1,996,205","1,925,239","2,003,777","1,948,610","1,909,554","-39,056",-2.00%,245
18 Av ,Brooklyn,"1,313,344","1,277,024","1,392,552","1,344,286","1,281,041","1,163,390","-117,651",-9.20%,330
18 Av ,Brooklyn,"1,641,928","1,775,695","1,784,992","723,187","992,834","981,261","-11,573",-1.20%,358
20 Av ,Brooklyn,"1,547,029","1,564,060","1,592,525","1,656,437","1,579,804","1,534,396","-45,408",-2.90%,287
20 Av ,Brooklyn,"1,286,961","1,305,487","1,279,525","409,416","664,120","1,075,077","410,957",61.90%,340
25 Av ,Brooklyn,"1,421,090","1,488,192","1,508,412","1,992,945","1,789,365","1,571,134","-218,231",-12.20%,282
25 St ,Brooklyn,"1,218,842","1,274,939","1,221,949","1,188,884","1,373,521","1,149,469","-224,052",-16.30%,333
36 St ,Brooklyn,"3,826,400","3,970,318","4,138,929","4,235,509","4,543,305","4,293,364","-249,941",-5.50%,109
4 Av ,Brooklyn,"4,210,873","4,120,946","4,199,208","4,138,758","4,323,467","3,906,028","-417,439",-9.70%,122
45 St ,Brooklyn,"2,251,217","2,323,521","2,321,241","2,228,315","2,390,684","2,251,921","-138,763",-5.80%,207
50 St ,Brooklyn,"1,021,409","1,009,971","968,612","1,012,356","986,060","965,643","-20,417",-2.10%,361
53 St ,Brooklyn,"2,387,370","2,405,353","2,374,338","2,334,471","1,187,907","2,378,056","1,190,149",100.20%,196
55 St ,Brooklyn,"601,931","603,320","595,157","665,488","632,198","650,590","18,392",2.90%,392
59 St ,Brooklyn,"3,968,334","4,094,658","4,158,863","4,169,280","5,326,789","3,998,207","-1,328,582",-24.90%,120
7 Av ,Brooklyn,"2,905,400","2,932,926","2,980,366","2,943,272","3,236,816","3,126,475","-110,341",-3.40%,159
7 Av ,Brooklyn,"3,904,986","3,886,594","3,780,126","3,700,321","3,623,053","3,572,223","-50,830",-1.40%,135
71 St ,Brooklyn,"1,446,020","1,481,633","1,487,929","2,029,479","1,854,361","1,746,966","-107,395",-5.80%,265
77 St ,Brooklyn,"1,645,262","1,711,410","1,723,178","1,743,795","1,980,011","1,676,402","-303,609",-15.30%,270
79 St ,Brooklyn,"1,949,861","2,041,896","2,043,471","2,137,349","2,032,937","1,901,043","-131,894",-6.50%,247
8 Av ,Brooklyn,"3,677,764","3,851,372","3,796,909","4,586,559","4,088,721","3,700,661","-388,060",-9.50%,129
86 St ,Brooklyn,"801,109","837,472","859,293","419,039","494,456","609,555","115,099",23.30%,397
86 St ,Brooklyn,"3,662,602","3,753,132","3,747,601","3,752,400","3,516,712","3,470,741","-45,971",-1.30%,140
9 Av ,Brooklyn,"1,896,942","1,938,987","1,843,944","1,858,368","1,737,192","1,667,200","-69,992",-4.00%,271
Alabama Av ,Brooklyn,"770,075","784,998","814,578","834,945","755,935","652,030","-103,905",-13.70%,391
Atlantic Av ,Brooklyn,"482,835","535,041","422,505","436,300","557,103","559,411","2,308",0.40%,401
Atlantic Av-Barclays Ctr ,Brooklyn,"13,122,876","13,617,153","13,690,678","13,818,168","13,571,093","13,807,282","236,189",1.70%,19
Avenue H ,Brooklyn,"875,106","896,279","899,662","952,855","1,006,747","1,034,018","27,271",2.70%,346
Avenue I ,Brooklyn,"699,582","696,140","672,710","585,217","326,469","326,005",-464,-0.10%,414
Avenue J ,Brooklyn,"1,867,576","1,850,087","1,848,674","1,867,727","1,912,497","1,878,547","-33,950",-1.80%,251
Avenue M ,Brooklyn,"1,730,576","1,731,955","1,733,583","1,776,762","1,828,941","1,808,189","-20,752",-1.10%,257
Avenue N ,Brooklyn,"1,044,429","1,050,916","1,027,713","941,921","643,200","612,201","-30,999",-4.80%,396
Avenue P ,Brooklyn,"861,095","864,424","858,733","809,816","534,727","509,036","-25,691",-4.80%,408
Avenue U ,Brooklyn,"717,486","699,414","716,715","772,331","373,322","310,821","-62,501",-16.70%,415
Avenue U ,Brooklyn,"1,211,062","1,251,276","1,253,349","456,533","734,714","830,278","95,564",13.00%,375
Avenue U ,Brooklyn,"2,176,073","2,175,035","2,231,577","2,332,985","2,360,833","2,329,614","-31,219",-1.30%,200
Avenue X ,Brooklyn,"908,520","892,170","589,962","727,220","738,274","775,436","37,162",5.00%,381
Bay 50 St ,Brooklyn,"847,843","884,302","872,953","972,937","900,508","826,074","-74,434",-8.30%,376
Bay Pkwy ,Brooklyn,"2,298,420","2,362,284","2,368,617","2,578,524","2,502,105","2,435,949","-66,156",-2.60%,195
Bay Pkwy ,Brooklyn,"487,308","478,322","460,536","406,793","214,153","188,225","-25,928",-12.10%,421
Bay Pkwy ,Brooklyn,"2,243,082","2,342,792","2,298,369","3,435,240","2,950,253","2,266,916","-683,337",-23.20%,203
Bay Ridge Av ,Brooklyn,"2,525,470","2,597,559","2,623,309","2,622,438","1,282,256","2,228,497","946,241",73.80%,211
Bay Ridge-95 St ,Brooklyn,"1,830,193","1,858,200","1,865,038","1,853,049","1,755,379","1,739,178","-16,201",-0.90%,267
Bedford Av ,Brooklyn,"9,214,395","9,892,516","9,388,289","9,688,560","9,644,831","9,053,980","-590,851",-6.10%,33
Bedford-Nostrand Avs ,Brooklyn,"2,348,998","2,513,681","2,634,066","2,697,942","2,779,124","2,774,993","-4,131",-0.10%,174
Bergen St ,Brooklyn,"1,296,199","1,236,513","1,210,571","1,231,084","1,180,684","1,140,677","-40,007",-3.40%,334
Bergen St ,Brooklyn,"3,650,848","3,711,317","3,708,300","3,599,389","3,525,144","3,478,946","-46,198",-1.30%,139
Beverley Rd ,Brooklyn,"737,652","838,970","899,663","953,903","1,038,252","1,060,568","22,316",2.10%,343
Beverly Rd ,Brooklyn,"1,364,573","1,360,719","1,392,643","1,379,958","1,348,244","1,307,405","-40,839",-3.00%,316
Brighton Beach ,Brooklyn,"3,810,743","3,872,092","4,014,831","4,044,514","3,957,811","3,778,194","-179,617",-4.50%,128
Broadway ,Brooklyn,"1,071,877","1,124,407","1,313,362","1,397,227","1,385,797","1,402,102","16,305",1.20%,307
Broadway Junction ,Brooklyn,"2,948,156","3,018,656","3,133,658","3,085,401","2,911,532","2,810,636","-100,896",-3.50%,171
Bushwick Av-Aberdeen St ,Brooklyn,"490,042","563,577","598,393","672,880","682,086","671,545","-10,541",-1.50%,387
Canarsie-Rockaway Pkwy ,Brooklyn,"4,062,690","4,175,970","4,024,313","3,897,784","3,828,628","3,598,843","-229,785",-6.00%,133
Carroll St ,Brooklyn,"3,782,675","3,616,947","3,672,702","3,563,150","3,537,661","3,490,924","-46,737",-1.30%,138
Central Av ,Brooklyn,"505,757","970,531","1,141,731","1,158,274","539,681","725,022","185,341",34.30%,386
Chauncey St ,Brooklyn,"938,803","959,091","1,045,698","1,092,483","1,095,638","1,063,828","-31,810",-2.90%,341
Church Av ,Brooklyn,"3,059,215","3,020,066","3,070,551","3,027,658","2,916,680","2,818,535","-98,145",-3.40%,170
Church Av ,Brooklyn,"5,603,898","5,482,093","5,707,573","5,438,775","5,455,527","5,161,293","-294,234",-5.40%,82
Church Av ,Brooklyn,"3,193,844","3,201,585","3,353,795","3,315,387","3,148,411","3,099,383","-49,028",-1.60%,160
Clark St ,Brooklyn,"1,972,314","2,018,876","1,997,148","2,000,024","1,631,139","1,550,414","-80,725",-4.90%,283
Classon Av ,Brooklyn,"1,432,872","1,477,256","1,604,508","1,581,663","1,585,121","1,649,340","64,219",4.10%,273
Cleveland St ,Brooklyn,"1,050,261","1,107,397","1,120,403","1,104,683","1,011,734","901,928","-109,806",-10.90%,368
Clinton-Washington Avs ,Brooklyn,"2,104,035","2,077,312","2,060,200","2,152,345","2,201,880","2,178,439","-23,441",-1.10%,216
Clinton-Washington Avs ,Brooklyn,"1,678,004","1,652,336","1,716,023","1,656,058","1,551,042","1,534,802","-16,240",-1.00%,286
Coney Island-Stillwell Av ,Brooklyn,"4,690,794","4,980,140","5,132,083","5,025,598","4,803,755","4,615,664","-188,091",-3.90%,100
Cortelyou Rd ,Brooklyn,"1,700,177","1,806,758","1,961,144","1,978,254","2,028,859","1,994,734","-34,125",-1.70%,236
Court St ,Brooklyn,"11,291,705","11,474,717","11,360,058","11,080,334","10,693,598","10,364,534","-329,064",-3.10%,28
Crescent St ,Brooklyn,"1,509,290","1,583,134","1,626,727","1,617,730","1,570,485","1,467,166","-103,319",-6.60%,299
Crown Heights-Utica Av ,Brooklyn,"8,534,705","8,690,082","8,965,908","9,051,970","8,954,499","7,920,192","-1,034,307",-11.60%,46
Cypress Hills ,Brooklyn,"432,557","450,480","452,936","462,143","435,855","411,331","-24,524",-5.60%,411
DeKalb Av ,Brooklyn,"5,223,608","5,288,037","5,373,388","5,640,329","6,551,184","6,776,248","225,064",3.40%,59
DeKalb Av ,Brooklyn,"3,712,102","3,924,836","3,938,538","4,017,076","4,171,610","4,000,252","-171,358",-4.10%,119
Ditmas Av ,Brooklyn,"1,455,737","1,437,835","1,033,946","1,055,185","1,137,998","1,149,528","11,530",1.00%,332
East 105 St ,Brooklyn,"1,161,688","1,197,125","1,187,844","1,201,578","1,201,452","1,139,556","-61,896",-5.20%,335
Eastern Pkwy-Brooklyn Museum ,Brooklyn,"1,674,856","1,665,524","1,676,659","1,585,048","1,530,635","1,544,013","13,378",0.90%,284
Euclid Av ,Brooklyn,"3,323,235","3,315,007","3,509,500","3,458,027","3,415,739","3,174,827","-240,912",-7.10%,157
Flatbush Av-Brooklyn College ,Brooklyn,"6,562,226","6,447,908","6,487,608","6,321,530","6,107,780","5,822,873","-284,907",-4.70%,73
Flushing Av ,Brooklyn,"728,668","808,421","866,803","877,269","849,840","874,498","24,658",2.90%,370
Flushing Av ,Brooklyn,"2,869,903","2,847,691","2,991,074","2,894,033","2,764,583","2,537,390","-227,193",-8.20%,184
Fort Hamilton Pkwy ,Brooklyn,"1,240,644","1,317,172","1,297,755","1,349,733","1,273,516","1,191,580","-81,936",-6.40%,328
Fort Hamilton Pkwy ,Brooklyn,"1,688,093","1,729,381","1,792,239","1,845,401","1,786,458","1,765,887","-20,571",-1.20%,261
Fort Hamilton Pkwy ,Brooklyn,"2,200,487","2,278,120","2,164,028","554,051","988,664","969,878","-18,786",-1.90%,359
Franklin Av ,Brooklyn,"5,125,782","5,377,967","5,100,038","5,010,984","4,762,184","4,604,219","-157,965",-3.30%,101
Franklin Av ,Brooklyn,"2,049,246","2,125,076","2,137,752","2,056,281","2,058,258","2,051,171","-7,087",-0.30%,229
Fulton St ,Brooklyn,"1,394,890","1,485,669","1,643,353","1,639,930","1,698,778","1,745,439","46,661",2.70%,266
Gates Av ,Brooklyn,"1,895,878","1,984,486","2,100,864","2,117,787","2,262,915","2,234,908","-28,007",-1.20%,210
Graham Av ,Brooklyn,"3,179,579","3,402,514","3,293,413","3,324,292","3,299,951","3,093,428","-206,523",-6.30%,161
Grand Army Plaza ,Brooklyn,"2,556,750","2,505,721","2,433,907","2,425,948","2,265,097","2,228,173","-36,924",-1.60%,212
Grand St ,Brooklyn,"2,260,023","2,414,872","2,242,757","2,174,128","2,256,349","2,126,443","-129,906",-5.80%,222
Grant Av ,Brooklyn,"1,958,503","2,041,848","2,084,651","2,170,567","1,950,109","1,842,974","-107,135",-5.50%,254
Greenpoint Av ,Brooklyn,"2,543,568","2,428,027","2,902,723","2,951,454","2,934,770","2,859,047","-75,723",-2.60%,167
Halsey St ,Brooklyn,"1,845,755","1,968,526","2,083,683","2,101,350","2,131,177","2,059,030","-72,147",-3.40%,227
Halsey St ,Brooklyn,"2,317,512","2,492,974","2,465,693","2,629,576","2,776,078","2,625,255","-150,823",-5.40%,179
Hewes St ,Brooklyn,"927,212","903,641","981,379","913,179","894,671","893,262","-1,409",-0.20%,369
High St ,Brooklyn,"2,441,136","2,687,244","2,656,705","2,536,059","2,983,672","3,463,611","479,939",16.10%,141
